generic_name,dosage_form,strength,category,indications,list_tier,source,metadata
Monensin,Powder,20%,Antiprotozoal drugs/Ionophores,Coccidiosis,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiprotozoal drugs/Ionophores Coccidiosis
Narasin,Powder,20%,Antiprotozoal drugs/Ionophores,Coccidiosis,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiprotozoal drugs/Ionophores Coccidiosis
Sulphadimidine sodium,"Bolus, injection","5gm, 333mg/ml, 100 ml",Antibacterial - Sulphonamide group,Mixed bacterial infections,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Sulphonamide group Mixed bacterial infections
Sulphadiazine sodium and Trimethoprim,"Powder, injection,liquid","100gm,500gm,1kg;100ml;100ml,500ml,1liter",Antibacterial - Sulphonamide group,Mixed bacterial infections,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Sulphonamide group Mixed bacterial infections
Ciprofloxacin,"Tablet,bolus, injection, powder","250mg, 2gm,40mg/ml,100mg/ml,10%w/w",Antibacterial - Fluoroquinolone,Gram +ve and Gram negative bacterial infection,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Fluoroquinolone Gram +ve and Gram negative bacterial infection
Enrofloxacin,"Tablet, injection, liquid","50mg,100mg,100mg/ml",Antibacterial - Fluoroquinolone,Gram +ve and Gram negative bacterial infection,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Fluoroquinolone Gram +ve and Gram negative bacterial infection
Oxytetracycline hydrochloride,"Tablet, injection, powder","500 mg, 50mg/ml, 50mg/gm",Antibacterial - Tetracyclines,Mixed bacterial infections,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Tetracyclines Mixed bacterial infections
Doxycycline hydrochloride,"Powder, Tablet, Injection","Powder:10%,20% Tablet: 100 mg, Injection: 100 mg",Antibacterial - Tetracyclines,Mixed bacterial infections,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Tetracyclines Mixed bacterial infections
Chlortetracycline hydrochloride,Powder,15%,Antibacterial - Tetracyclines,Gram +ve bacterial infection,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Tetracyclines Gram +ve bacterial infection
Fortified Procaine penicillin,Injection,"20lac,40lac",Antibacterial - Penicillin,Gram +ve and Gram negative bacterial infection,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Penicillin Gram +ve and Gram negative bacterial infection
Benzathine Penicillin,Injection,"6lac ,12lac,24lac,48 lac IU",Antibacterial - Penicillin,Gram +ve and Gram negative bacterial infection,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Penicillin Gram +ve and Gram negative bacterial infection
Ampicillin,Injection,"250mg,500mg, 2gm, 2.5gm",Antibacterial - Penicillin,Gram +ve and Gram negative bacterial infection,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Penicillin Gram +ve and Gram negative bacterial infection
Amoxicillin,"Bolus, Injection,Powder","1.5gm, 5%w/w",Antibacterial - Penicillin,Gram +ve and Gram negative bacterial infection,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Penicillin Gram +ve and Gram negative bacterial infection
Amoxicillin and Clavulanic acid,"Tablet,Syrup,Injection","250mg, 500mg, 228.75mg/5ml, 2gm, 3gm,4gm",Antibacterial - Penicillin,Mixed bacterial infections,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Penicillin Mixed bacterial infections
Cephalexin,Powder,7.5%w/w,Antibacterial - Cephalosporin,"RTI,UTI and Mastitis",Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Antibacterial - Cephalosporin RTI,UTI and Mastitis"
Cefixime,"Tablet,Suspension,injection","100mg,200mg, 100mg/5ml, 3gm, 4gm",Antibacterial - Cephalosporin,Gram +ve and Gram negative bacterial infection,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Cephalosporin Gram +ve and Gram negative bacterial infection
Ceftiofur,Injection,"500mg,1gm,4gm",Antibacterial - Cephalosporin,Gram +ve and Gram negative bacterial infection,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Cephalosporin Gram +ve and Gram negative bacterial infection
Ceftriaxone,Injection,"500mg,1gm,2gm,3gm,4gm",Antibacterial - Cephalosporin,Wide spectrum of bacterial infection,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Cephalosporin Wide spectrum of bacterial infection
Chloramphenicol,Powder,20%w/w,Antibacterial - Amphenicols,Gram +ve and Gram negative bacterial infection,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Amphenicols Gram +ve and Gram negative bacterial infection
Florfenicol,Liquid,"100ml,500ml,1ltr",Antibacterial - Amphenicols,Antiinfective,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Amphenicols Antiinfective
Furaltadone,Powder,"100gm,500g,1kg",Antibacterial - Nitrofuran,Antiinfective,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Nitrofuran Antiinfective
Furazolidone,Powder/tablet,20%/200 mg,Antibacterial - Nitrofuran,"Gram +ve and Gram negative bacterial infection, CRD",Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Antibacterial - Nitrofuran Gram +ve and Gram negative bacterial infection, CRD"
Erythromycin,"Tablet, liquid,powder","250mg, 500mg, 125mg/5ml, 50gm/gm",Antibacterial - Macrolide,CRD,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Macrolide CRD
Tylosin,"Powder, Injection","100 %, 20 %",Antibacterial - Macrolide,CRD,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Macrolide CRD
Tilmicosin,Liquid,10% and 25%,Antibacterial - Macrolide,"GI tract infection, bacterial enteritis",Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Antibacterial - Macrolide GI tract infection, bacterial enteritis"
Neomycin,"Injection, Powder","140mg/ml, 50 %",Antibacterial - Aminoglycoside,Gram negative bacterial infections,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Aminoglycoside Gram negative bacterial infections
Gentamicin,Injection,40mg/ml,Antibacterial - Aminoglycoside,"Mastitis, endometritis,enteritis",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Antibacterial - Aminoglycoside Mastitis, endometritis,enteritis"
Kanamycin,Injection,"500mg,1gm,2gm",Antibacterial - Aminoglycoside,Gram +ve bacterial infections,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Aminoglycoside Gram +ve bacterial infections
Lincomycin,"Capsule, syrup,Injection, Powder","250mg,500mg,125mg/ml,300mg/ml,110gm/kg",Antibacterial - Lincosamide,CRD,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antibacterial - Lincosamide CRD
Tiamulin,Powder,45% and 80%,Antibacterial - Pleuromutilins,"Gram +ve bacteria, Mycoplasma",Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Antibacterial - Pleuromutilins Gram +ve bacteria, Mycoplasma"
Furosemide,"Injection, Tablet,Bolus","Injection: 10 mg/ml in 2ml ampoules, 50 mg/ml in 10 ml, Tablet: 40 mg, Bolus: 500 mg",Diuretics,"edema, pulmonary congestion, ascites",Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Diuretics edema, pulmonary congestion, ascites"
Spironolactone,Tablet,"25mg, 100 mg",Diuretics,edema,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Diuretics edema
Hydrochlorthiazide,Tablet,"25mg, 50 mg",Diuretics,edema,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Diuretics edema
Calamine,Lotion,15%,Dermatological: Anti-inflammatory/Antipruritic,,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Dermatological: Anti-inflammatory/Antipruritic 
Hydrocortisone,Cream/Ointment,1% (wt/wt),Dermatological: Anti-inflammatory/Antipruritic,,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Dermatological: Anti-inflammatory/Antipruritic 
Betamethasone,Ointment,0.10%,Dermatological: Anti-inflammatory/Antipruritic,,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Dermatological: Anti-inflammatory/Antipruritic 
Ciprofloxacin,Ointment/Solution (Eye drop),"Ointment: 0.3%, Solution: 0.3% (as hydrochloride)",Ophthalmological,,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Ophthalmological 
Chloramphenicol,Ointment/Solution (Eye drop),"Ointment: 1% w/w, Solution: 0.5%",Ophthalmological,,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Ophthalmological 
Prednisolone,Solution (Eye drop),0.5% (Sodium phosphate),Ophthalmological,,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Ophthalmological 
Atropine,Solution (eye drop),1% (sulfate),Ophthalmological,,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Ophthalmological 
Betamethasone,Eardrop/cream,0.05%,"Ear, Nose and Throat Preparations",,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Ear, Nose and Throat Preparations "
Chloramphenicol,Ear drop,5%,"Ear, Nose and Throat Preparations",,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Ear, Nose and Throat Preparations "
Ciprofloxacin,Ear drop,0.3% (as hydrochloride),"Ear, Nose and Throat Preparations",,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Ear, Nose and Throat Preparations "
Clotrimazole,Ear drop,1%,"Ear, Nose and Throat Preparations",,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Ear, Nose and Throat Preparations "
Lidocaine,Topical (viscous),"2%, 4%","Ear, Nose and Throat Preparations",,,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)","Ear, Nose and Throat Preparations "
Permethrin,Solution/Pour on,"1%, 10% and 44% in pour on for dogs",Insecticidal,Ectoparasite infestation,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Insecticidal Ectoparasite infestation
Cypermethrin,Pour on/Solution,6.50%,Insecticidal,Ectoparasite infestation,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Insecticidal Ectoparasite infestation
Fipronil,Pour on/Spray,"Solution: 1%, Spray: 0.25%",Insecticidal,Ectoparasite infestation,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Insecticidal Ectoparasite infestation
Flumethrin,Pour on/Solution,1%,Insecticidal,Ectoparasite infestation,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Insecticidal Ectoparasite infestation
Chlorhexidine,Solution,"5% for dilution and solution or ointment, 4%",Antiseptics,,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiseptics 
Gentian violet,Aqueous,1%,Antiseptics,,Emergency,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiseptics 
Povidone iodine,Solution,"5%,10% for dilution",Antiseptics,,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiseptics 
Rectified spirit,Liquid,90% v/v,Antiseptics,,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiseptics 
Acryflavin,Liquid,0.1%,Antiseptics,,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiseptics 
Boric acid,Powder,,Antiseptics,,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiseptics 
Potassium permanganate,"Powder/Crystals, Liquid",,Antiseptics,,Essential,"National Essential Veterinary Medicine List 2023 (Nepal, vsdrl.gov.np)",Antiseptics 
